,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets
0,AU053739 Corp,AABHFH,100.086,100.098,100.092,Alandsbanken Abp,0.5,09/13/2021,AABHFH,4.73005,4.84431,684.499,33.1593,,,,87.2526,72.7382,275.5,,
1,BP432479 Corp,AAFFP,101.45,102.108,101.779,Afflelou SAS,4.25,05/19/2026,AAFFP,18.915,17.158,351.535,60.3164,1.61252,70.221,,77.8533,,,,
2,BP486833 Corp,AAFFP,101.375,102.375,101.875,Afflelou SAS,8.0,05/19/2027,AAFFP,18.915,17.158,351.535,60.3164,1.61252,70.221,,77.8533,,,,
3,EJ102177 Corp,AALLN,102.36,102.801,102.5805,Anglo American Capital PLC,3.5,03/28/2022,AALLN,18.7733,19.2457,410.513,79.0061,,,3.78296,80.4119,,,,
4,EK150567 Corp,AALLN,105.728,105.887,105.8075,Anglo American Capital PLC,3.25,04/03/2023,AALLN,18.7733,19.2457,410.513,79.0061,,,3.78296,80.4119,,,,
5,AP137335 Corp,AALLN,100.631,101.147,100.88900000000001,Anglo American Capital PLC,1.625,09/18/2025,AALLN,18.7733,19.2457,410.513,79.0061,,,3.78296,80.4119,,,,
6,AX543265 Corp,AALLN,106.307,106.877,106.592,Anglo American Capital PLC,1.625,03/11/2026,AALLN,18.7733,19.2457,410.513,79.0061,,,3.78296,80.4119,,,,
7,EK583811 Corp,AAPL,101.885,102.016,101.9505,Apple Inc,1.0,11/10/2022,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
8,UV843148 Corp,AAPL,104.398,104.593,104.49549999999999,Apple Inc,1.375,01/17/2024,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
9,ZQ512620 Corp,AAPL,100.881,100.881,100.881,Apple Inc,0.0,11/15/2025,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
10,EK583835 Corp,AAPL,109.361,109.652,109.5065,Apple Inc,1.625,11/10/2026,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
11,UV843143 Corp,AAPL,113.355,113.495,113.42500000000001,Apple Inc,2.0,09/17/2027,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,
