;Reference Security;Bid Price;Ask Price;Mid Price;Cpn;Maturity;Common Eqty / Tot Assets;Debt/EBITDA;EBITDA;Earnings Assets / Int Bear Liab;Debt / Common Equity;BCLASS Level 3;TCE Ratio;Interest Coverage Ratio;Risk-Based Cap Ratio;Lev Ratio to TCE;Tier-1 Ratio;Tot Debt / Tot Capital
0;BP432479 Corp;101.651;102.311;101.981;4.25;05/19/2026;17.158;1.61252;70.221;;351.535;Consumer Cyclical;-171.027;0.857497;;;;77.8533
1;BP432479 Corp;101.651;102.31;101.9805;4.25;05/19/2026;17.158;1.61252;70.221;;351.535;Consumer Cyclical;-171.027;0.857497;;;;77.8533
4;BP432479 Corp;101.5;102.2;101.85;4.25;05/19/2026;17.158;1.61252;70.221;;351.535;Consumer Cyclical;-171.027;0.857497;;;;77.8533
7;EJ102177 Corp;102.24;102.66;102.44999999999999;3.5;03/28/2022;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
9;EJ102177 Corp;102.239;102.659;102.44900000000001;3.5;03/28/2022;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
10;EJ102177 Corp;101.966;102.774;102.37;3.5;03/28/2022;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
11;AP137335 Corp;106.301;106.751;106.52600000000001;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
12;AP137335 Corp;106.471;106.897;106.684;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
13;AP137335 Corp;106.303;106.753;106.52799999999999;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
14;AP137335 Corp;106.296;106.746;106.521;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
15;AP137335 Corp;106.285;106.735;106.50999999999999;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
16;AP137335 Corp;106.262;106.712;106.487;1.625;09/18/2025;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
17;AX543265 Corp;106.247;106.817;106.532;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
18;AX543265 Corp;106.528;106.752;106.64;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
20;AX543265 Corp;106.521;106.745;106.63300000000001;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
21;AX543265 Corp;106.52;106.745;106.6325;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
22;AX543265 Corp;106.208;106.778;106.493;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
23;AX543265 Corp;106.205;106.775;106.49000000000001;1.625;03/11/2026;19.2457;;;0.0;410.513;Basic Industry;;;;;;80.4119
24;AN646797 Corp;104.212;104.38;104.29599999999999;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
25;AN646797 Corp;104.249;104.432;104.34049999999999;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
26;AN646797 Corp;104.253;104.435;104.344;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
27;AN646797 Corp;104.214;104.376;104.295;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
28;AN646797 Corp;104.207;104.372;104.2895;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
29;AN646797 Corp;104.188;104.353;104.2705;0.875;05/24/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
30;ZQ512620 Corp;100.968;100.968;100.968;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
31;ZQ512620 Corp;101.274;101.456;101.36500000000001;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
32;ZQ512620 Corp;101.21;101.427;101.3185;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
33;ZQ512620 Corp;100.959;100.959;100.959;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
34;ZQ512620 Corp;100.963;100.963;100.963;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
35;ZQ512620 Corp;101.178;101.394;101.286;0.0;11/15/2025;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
36;EK583835 Corp;109.282;109.477;109.37950000000001;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
37;EK583835 Corp;109.271;109.493;109.382;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
38;EK583835 Corp;109.274;109.497;109.38550000000001;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
39;EK583835 Corp;109.237;109.515;109.376;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
40;EK583835 Corp;109.271;109.462;109.3665;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
41;EK583835 Corp;109.257;109.445;109.351;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
42;EK583835 Corp;109.215;109.546;109.38050000000001;1.625;11/10/2026;20.1733;1.09391;78844.0;;187.144;Technology;20.1733;23.0727;;;;65.1743
43;BM056765 Corp;102.021;102.174;102.0975;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
44;BM056765 Corp;102.043;102.143;102.093;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
45;BM056765 Corp;101.996;102.097;102.0465;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
46;BM056765 Corp;102.063;102.165;102.114;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
47;BM056765 Corp;102.038;102.156;102.09700000000001;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
48;BM056765 Corp;101.962;102.063;102.0125;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
49;BM056765 Corp;102.019;102.137;102.078;0.01;08/03/2026;6.3899;;212.0;93.9125;1023.85;Mortgage Assets;5.96187;;28.0;5.9;18.8;90.9322
50;ZP324278 Corp;100.179;100.929;100.554;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
51;ZP324278 Corp;100.188;100.938;100.563;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
52;ZP324278 Corp;100.19;100.94;100.565;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
53;ZP324278 Corp;100.174;100.924;100.549;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
54;ZP324278 Corp;100.185;100.935;100.56;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
55;ZP324278 Corp;100.15;100.9;100.525;0.5;01/14/2027;6.3899;;212.0;93.9125;1023.85;Banking;5.96187;;28.0;5.9;18.8;90.9322
