,Unnamed: 0,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets,maturity_years,PD_1y
0,0,AU053739 Corp,AABHFH,100.086,100.098,100.09200000000001,Alandsbanken Abp,0.5,09/13/2021,AABHFH,4.73005,4.84431,684.4989999999999,33.1593,,,,87.2526,72.7382,275.5,,,0.11232876712328767,0.0589
1,1,BP432479 Corp,AAFFP,101.45,102.10799999999999,101.779,Afflelou SAS,4.25,05/19/2026,AAFFP,18.915,17.158,351.535,60.3164,1.6125200000000002,70.221,,77.8533,,,,,4.794520547945205,0.0686
2,2,BP486833 Corp,AAFFP,101.375,102.375,101.875,Afflelou SAS,8.0,05/19/2027,AAFFP,18.915,17.158,351.535,60.3164,1.6125200000000002,70.221,,77.8533,,,,,5.794520547945205,0.1192
3,3,EJ102177 Corp,AALLN,102.36,102.801,102.5805,Anglo American Capital PLC,3.5,03/28/2022,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,0.6493150684931507,0.0313
4,4,EK150567 Corp,AALLN,105.728,105.887,105.8075,Anglo American Capital PLC,3.25,04/03/2023,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,1.6657534246575343,0.017
5,5,AP137335 Corp,AALLN,100.631,101.147,100.889,Anglo American Capital PLC,1.625,09/18/2025,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,4.1287671232876715,0.0328
6,6,AX543265 Corp,AALLN,106.307,106.87700000000001,106.59200000000001,Anglo American Capital PLC,1.625,03/11/2026,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,4.605479452054794,0.0139
7,7,EK583811 Corp,AAPL,101.885,102.016,101.9505,Apple Inc,1.0,11/10/2022,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,1.2712328767123289,0.0133
8,8,UV843148 Corp,AAPL,104.398,104.59299999999999,104.4955,Apple Inc,1.375,01/17/2024,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,2.4575342465753423,0.0089
9,9,ZQ512620 Corp,AAPL,100.881,100.881,100.881,Apple Inc,0.0,11/15/2025,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,4.287671232876712,0.0067
10,10,EK583835 Corp,AAPL,109.361,109.652,109.5065,Apple Inc,1.625,11/10/2026,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,5.273972602739726,0.0093
11,11,UV843143 Corp,AAPL,113.355,113.495,113.425,Apple Inc,2.0,09/17/2027,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,6.126027397260274,0.0093
12,12,AN646815 Corp,AAPL,110.671,110.98299999999999,110.82700000000001,Apple Inc,1.375,05/24/2029,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,7.810958904109589,0.0072
13,13,ZQ512622 Corp,AAPL,103.381,102.38,102.8805,Apple Inc,0.5,11/15/2031,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,10.29041095890411,0.0088
15,15,ZP324278 Corp,AARB,100.037,100.787,100.412,Aareal Bank AG,0.5,01/14/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,5.4520547945205475,0.0159
16,16,ZO729151 Corp,AARB,102.45200000000001,102.74,102.596,Aareal Bank AG,0.5,04/07/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,5.67945205479452,0.0097
17,17,BP091713 Corp,AARB,98.978,99.825,99.4015,Aareal Bank AG,0.14,04/21/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,5.717808219178083,0.0127
18,18,BM636291 Corp,AARB,100.351,100.603,100.477,Aareal Bank AG,0.25,11/23/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,6.30958904109589,0.0113
21,21,AW600495 Corp,ABANCA,109.0,110.0,109.5,Abanca Corp Bancaria SA,6.125,01/18/2029,ABANCA,6.80553,6.321280000000001,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,,7.465753424657534,0.0765
22,22,ZR827301 Corp,ABANCA,107.711,108.089,107.9,Abanca Corp Bancaria SA,4.625,04/07/2030,ABANCA,6.80553,6.321280000000001,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,,8.682191780821919,0.0606
23,23,JK907074 Corp,ABBNVX,101.54,101.648,101.594,ABB Finance BV,0.625,05/03/2023,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,1.747945205479452,0.009
24,24,AN529935 Corp,ABBNVX,102.624,102.838,102.73100000000001,ABB Finance BV,0.75,05/16/2024,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,2.786301369863014,0.008
25,25,BN453785 Corp,ABBNVX,98.462,98.796,98.62899999999999,ABB Finance BV,0.0,01/19/2030,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,8.468493150684932,0.0092
26,26,AL241080 Corp,ABBV,103.992,104.176,104.084,AbbVie Inc,1.375,05/17/2024,ABBV,2.0460599999999998,8.684619999999999,665.823,57.8242,4.31643,18026.0,,86.9239,,,,,2.789041095890411,0.0107
27,27,ZR655395 Corp,ABBV,103.825,104.185,104.005,AbbVie Inc,0.75,11/18/2027,ABBV,2.0460599999999998,8.684619999999999,665.823,57.8242,4.31643,18026.0,,86.9239,,,,,6.295890410958904,0.0111
30,30,EJ708501 Corp,ABESM,107.465,107.574,107.5195,Abertis Infraestructuras SA,3.75,06/20/2023,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,1.8794520547945206,0.0111
31,31,EK127126 Corp,ABESM,109.2,111.0,110.1,Abertis Infraestructuras SA,3.125,03/19/2024,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,2.627397260273973,0.0068
32,32,AZ495660 Corp,ABESM,102.214,102.964,102.589,Abertis Infraestructuras SA,0.625,07/15/2025,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,3.9506849315068493,0.0093
33,33,LW076488 Corp,ABESM,105.65,105.929,105.7895,Abertis Infraestructuras SA,1.375,05/20/2026,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,4.7972602739726025,0.0124
34,34,AX729354 Corp,ABESM,110.727,111.38799999999999,111.0575,Abertis Infraestructuras SA,2.375,09/27/2027,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,6.153424657534247,0.0198
35,35,ZP794341 Corp,ABESM,96.26899999999999,97.77,97.0195,Abertis Infraestructuras SA,1.25,02/07/2028,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,6.517808219178082,0.036
36,36,ZR655698 Corp,ABESM,103.529,103.88799999999999,103.7085,Abertis Infraestructuras SA,1.125,03/26/2028,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,6.64931506849315,0.0174
37,37,BK164389 Corp,ABESM,111.09899999999999,111.708,111.4035,Abertis Infraestructuras SA,2.25,03/29/2029,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,7.657534246575342,0.0191
38,38,AZ495661 Corp,ABESM,106.538,107.238,106.88799999999999,Abertis Infraestructuras SA,1.625,07/15/2029,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,7.953424657534247,0.0186
39,39,AX729355 Corp,ABESM,118.721,119.60799999999999,119.1645,Abertis Infraestructuras SA,3.0,03/27/2031,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,9.652054794520549,0.0202
40,40,ZR655699 Corp,ABESM,108.365,109.065,108.715,Abertis Infraestructuras SA,1.875,03/26/2032,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,10.652054794520549,0.0209
41,41,ZS424035 Corp,ABGSM,0.01,0.75,0.38,Abengoa Abenewco 2 Bis SA,1.5,04/26/2024,ABGSM,-129.678,-147.173,,142.39,,300.043,,8622.62,,,,,2.7315068493150685,1.8585
42,42,BJ871562 Corp,ABHFIN,102.37,102.75,102.56,ABH Financial Ltd Via Alfa Holding Issuance PLC,2.7,06/11/2023,ABHFIN,,,,,,,,,,,,,1.8547945205479452,0.0337
43,43,AQ688743 Corp,ABIBB,100.589,100.866,100.7275,Anheuser-Busch InBev SA/NV,0.0,04/15/2024,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,2.7013698630136984,0.0068
44,44,EJ370004 Corp,ABIBB,109.728,109.853,109.7905,Anheuser-Busch InBev SA/NV,2.875,09/25/2024,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,3.147945205479452,0.0164
45,45,EK148564 Corp,ABIBB,113.14,113.47399999999999,113.307,Anheuser-Busch InBev SA/NV,2.7,03/31/2026,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,4.66027397260274,0.0095
46,46,AQ688742 Corp,ABIBB,106.45700000000001,106.736,106.5965,Anheuser-Busch InBev SA/NV,1.15,01/22/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,5.473972602739726,0.0095
47,47,AX890181 Corp,ABIBB,106.62100000000001,106.916,106.7685,Anheuser-Busch InBev SA/NV,1.125,07/01/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,5.912328767123288,0.0083
48,48,BH449703 Corp,ABIBB,112.914,113.25299999999999,113.0835,Anheuser-Busch InBev SA/NV,2.125,12/02/2027,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,6.3342465753424655,0.0117
49,49,JK482752 Corp,ABIBB,112.711,113.009,112.86,Anheuser-Busch InBev SA/NV,2.0,03/17/2028,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,6.624657534246575,0.0101
50,50,EK855926 Corp,ABIBB,109.90100000000001,110.46600000000001,110.1835,Anheuser-Busch InBev SA/NV,1.5,04/18/2030,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,8.712328767123287,0.0117
51,51,AX890210 Corp,ABIBB,111.288,111.76799999999999,111.528,Anheuser-Busch InBev SA/NV,1.65,03/28/2031,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,9.654794520547945,0.0128
52,52,BH449704 Corp,ABIBB,123.76100000000001,124.31,124.0355,Anheuser-Busch InBev SA/NV,2.875,04/02/2032,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,10.67123287671233,0.0136
53,53,EJ523596 Corp,ABIBB,129.53,130.697,130.1135,Anheuser-Busch InBev SA/NV,3.25,01/24/2033,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,11.484931506849316,0.0132
54,54,JK482849 Corp,ABIBB,124.20299999999999,124.94200000000001,124.5725,Anheuser-Busch InBev SA/NV,2.75,03/17/2036,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,14.63013698630137,0.0167
55,55,BH449705 Corp,ABIBB,140.127,140.94299999999998,140.53500000000003,Anheuser-Busch InBev SA/NV,3.7,04/02/2040,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,18.676712328767124,0.0192
58,58,AV875566 Corp,ABNANV,100.245,100.277,100.26100000000001,ABN AMRO Bank NV,0.25,12/03/2021,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.33424657534246577,0.0235
59,59,AV875550 Corp,ABNANV,100.176,100.204,100.19,ABN AMRO Bank NV,0.0,12/03/2021,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.33424657534246577,0.0205
60,60,EI999618 Corp,ABNANV,102.854,102.936,102.895,ABN AMRO Bank NV,5.0,02/09/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.5205479452054794,0.0515
61,61,LW092647 Corp,ABNANV,100.88600000000001,100.936,100.911,ABN AMRO Bank NV,0.625,05/31/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.8246575342465754,0.0104
62,62,EJ270107 Corp,ABNANV,106.69200000000001,106.806,106.749,ABN AMRO Bank NV,7.125,07/06/2022,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,0.9232876712328767,0.0202
63,63,AT519156 Corp,ABNANV,101.76100000000001,101.859,101.81,ABN AMRO Bank NV,0.5,07/17/2023,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,1.9534246575342467,0.0049
64,64,EJ689959 Corp,ABNANV,106.697,106.819,106.758,ABN AMRO Bank NV,2.5,11/29/2023,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,2.3232876712328765,0.0146
65,65,AW568319 Corp,ABNANV,102.986,103.18799999999999,103.087,ABN AMRO Bank NV,0.875,01/15/2024,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,2.452054794520548,0.0084
66,66,EK850977 Corp,ABNANV,104.811,104.98899999999999,104.9,ABN AMRO Bank NV,1.0,04/16/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,3.7041095890410958,0.0062
67,67,AS180185 Corp,ABNANV,104.368,104.541,104.4545,ABN AMRO Bank NV,0.875,04/22/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,3.7205479452054795,0.006
68,68,BJ633155 Corp,ABNANV,105.079,105.296,105.1875,ABN AMRO Bank NV,1.25,05/28/2025,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,3.819178082191781,0.009
69,69,ZS090332 Corp,ABNANV,103.354,103.54700000000001,103.4505,ABN AMRO Bank NV,0.5,04/15/2026,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,4.701369863013698,0.0062
70,70,ZP353553 Corp,ABNANV,102.542,102.803,102.6725,ABN AMRO Bank NV,0.6,01/15/2027,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,5.454794520547945,0.0113
71,71,JV591523 Corp,ABNANV,104.603,104.603,104.603,ABN AMRO Bank NV,2.875,01/18/2028,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,6.463013698630137,0.042
72,72,JK712590 Corp,ABNANV,110.43,110.68,110.555,ABN AMRO Bank NV,1.0,04/13/2031,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,9.698630136986301,0.0045
73,73,BP790964 Corp,ABNANV,102.999,103.37,103.1845,ABN AMRO Bank NV,1.0,06/02/2033,ABNANV,4.99379,4.803059999999999,650.789,31.2578,,,0.630691,85.49,64.6135,26195.0,127.325,,11.838356164383562,0.0154
74,74,AU539765 Corp,ABT,102.618,102.72399999999999,102.671,Abbott Ireland Financing DAC,0.875,09/27/2023,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,2.1506849315068495,0.0109
75,75,AU539766 Corp,ABT,108.125,108.404,108.2645,Abbott Ireland Financing DAC,1.5,09/27/2026,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,5.153424657534247,0.0107
76,76,ZQ616019 Corp,ABT,102.51299999999999,102.839,102.676,Abbott Ireland Financing DAC,0.375,11/19/2027,ABT,45.4815,45.1894,60.6698,27.4163,1.81876,9013.0,,37.6042,,,,,6.298630136986302,0.0082
77,77,BQ314932 Corp,ACACB,101.656,101.792,101.72399999999999,Credit Agricole Home Loan SFH SA,0.01,04/12/2028,ACACB,1.7699,1.6577099999999998,5926.81,98.2495,,,,98.3407,,,,,6.695890410958904,0.0041
85,85,AW599611 Corp,ACAFP,100.229,100.26700000000001,100.248,Credit Agricole SA/London,0.002,01/17/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.4575342465753425,0.0157
86,86,ZP822149 Corp,ACAFP,100.07,100.27,100.17,Unifergie - Union Pour le Financement des Economies D'Energie SA,0.0,02/07/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.5150684931506849,0.0158
87,87,AN217790 Corp,ACAFP,100.531,100.561,100.546,Credit Agricole SA/London,0.252,04/20/2022,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,0.7123287671232876,0.0112
88,88,EI542114 Corp,ACAFP,105.61399999999999,107.35600000000001,106.485,Credit Agricole SA,4.25,02/04/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,1.5068493150684932,0.0271
89,89,AR482677 Corp,ACAFP,100.75399999999999,100.8,100.777,Credit Agricole SA/London,0.057999999999999996,03/06/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,1.5890410958904109,0.0067
90,90,EJ751625 Corp,ACAFP,107.089,107.135,107.11200000000001,Credit Agricole SA/London,3.125,07/17/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,1.9534246575342467,0.0046
91,91,AV923058 Corp,ACAFP,102.445,102.791,102.618,Credit Agricole SA/London,0.75,12/05/2023,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,2.33972602739726,0.0091
92,92,EK021817 Corp,ACAFP,106.743,108.772,107.7575,Credit Agricole SA,3.03,02/21/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,2.5534246575342467,0.0173
93,93,AZ186551 Corp,ACAFP,101.93299999999999,102.169,102.051,Credit Agricole SA/London,0.5,06/24/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,2.893150684931507,0.0075
94,94,EK623532 Corp,ACAFP,106.59899999999999,109.711,108.155,Credit Agricole SA,3.0,12/22/2024,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,3.389041095890411,0.0243
95,95,EK699272 Corp,ACAFP,106.796,109.822,108.309,Credit Agricole SA,3.0,02/02/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,3.504109589041096,0.0236
96,96,AR621181 Corp,ACAFP,105.133,105.35700000000001,105.245,Credit Agricole SA/London,1.375,03/13/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,3.610958904109589,0.0108
97,97,EK827377 Corp,ACAFP,108.038,109.288,108.663,Credit Agricole SA,2.7,04/14/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,3.6986301369863015,0.0177
98,98,EK946829 Corp,ACAFP,108.26799999999999,109.147,108.7075,Credit Agricole SA,2.7,07/15/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,3.9506849315068493,0.0173
99,99,UV809282 Corp,ACAFP,106.947,110.205,108.57600000000001,Credit Agricole SA,2.8,10/16/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.205479452054795,0.0255
100,100,ZQ099083 Corp,ACAFP,101.835,101.963,101.899,Credit Agricole SA,0.375,10/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.219178082191781,0.0095
101,101,QJ780660 Corp,ACAFP,107.654,109.447,108.5505,Credit Agricole SA,3.0,12/21/2025,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.3863013698630136,0.0285
102,102,JV523322 Corp,ACAFP,109.539,110.385,109.962,Credit Agricole SA,2.8,01/27/2026,ACAFP,3.1409,3.02535,970.018,29.3464,,,,88.6756,20.9991,64489.0,163.454,,4.487671232876712,0.0211
