,Reference Security,Bid Price,Ask Price,Mid Price,Cpn,Maturity,Common Eqty / Tot Assets,Debt/EBITDA,EBITDA,Earnings Assets / Int Bear Liab,Debt / Common Equity,BCLASS Level 3,TCE Ratio,Interest Coverage Ratio,Risk-Based Cap Ratio,Lev Ratio to TCE,Tier-1 Ratio,Tot Debt / Tot Capital,PD_1y,reprice,Error %,Issuer Name,Tot Cap (Local Crncy),Is Covered,Is Convertible,Guarantee Type,Guarantor Type,Collat Type,Amt Out,OC Nominal Amt,Total Assets,Total Deposits,Total Expenses to Average Earning Assets
0,BP432479 Corp,101.651,102.311,101.981,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.0647235987922019,101.98099999992476,7.378479885174159e-11,Afflelou SAS,981.602,False,False,Multiple,Company,SR SECURED,410000000.0,,1267.0,,
1,BP432479 Corp,101.651,102.31,101.9805,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.0647253259987585,101.9805,0.0,Afflelou SAS,981.602,False,False,Multiple,Company,SR SECURED,410000000.0,,1267.0,,
2,BP432479 Corp,101.5,102.2,101.85,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.065176533252311,101.85000000000008,8.371637534728721e-14,Afflelou SAS,981.602,False,False,Multiple,Company,SR SECURED,410000000.0,,1267.0,,
3,AP137335 Corp,106.301,106.751,106.526,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0108217541503036,106.526,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
4,AP137335 Corp,106.471,106.897,106.684,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0103256740233824,106.684,1.3320511712348622e-14,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
5,AP137335 Corp,106.303,106.753,106.528,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0108154686084854,106.528,1.3340018319316991e-14,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
6,AP137335 Corp,106.296,106.746,106.521,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0108374686841664,106.52099999999996,2.6681789910350078e-14,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
7,AP137335 Corp,106.285,106.735,106.51,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0108720440752252,106.51,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
8,AP137335 Corp,106.262,106.712,106.487,1.625,09/18/2025,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0109443532605735,106.487,0.0,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,600000000.0,,,,
9,AX543265 Corp,106.247,106.817,106.532,1.625,03/11/2026,19.2457,,,0.0,410.513,Basic Industry,,,,,,80.4119,0.0108028979906189,106.53200000000002,1.3339517436265163e-14,Anglo American Capital PLC,26767.2,False,False,Single,Parent,COMPANY GUARNT,500000000.0,,,,
