,Reference Security,Bid Price,Ask Price,Mid Price,Cpn,Maturity,Common Eqty / Tot Assets,Debt/EBITDA,EBITDA,Earnings Assets / Int Bear Liab,Debt / Common Equity,BCLASS Level 3,TCE Ratio,Interest Coverage Ratio,Risk-Based Cap Ratio,Lev Ratio to TCE,Tier-1 Ratio,Tot Debt / Tot Capital,PD_1y,reprice,Error %
0,BP432479 Corp,101.65100000000001,102.311,101.98100000000001,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.06472359879220196,101.98099999992476,7.37847988517416e-11
1,BP432479 Corp,101.65100000000001,102.31,101.9805,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.06472532599875852,101.9805,0.0
2,BP432479 Corp,101.5,102.2,101.85,4.25,05/19/2026,17.158,1.6125200000000002,70.221,,351.535,Consumer Cyclical,-171.02700000000002,0.857497,,,,77.8533,0.065176533252311,101.85000000000008,8.371637534728721e-14
3,EJ102177 Corp,102.24,102.66,102.45,3.5,03/28/2022,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.017218027971012573,102.44999999999999,1.3871014851344074e-14
4,EJ102177 Corp,102.23899999999999,102.65899999999999,102.449,3.5,03/28/2022,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.01723412800652946,102.449,0.0
5,EJ102177 Corp,101.96600000000001,102.774,102.37,3.5,03/28/2022,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.018506030812356133,102.36999999999999,1.3881854757450429e-14
6,AP137335 Corp,106.301,106.751,106.526,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010821754150303694,106.526,0.0
7,AP137335 Corp,106.471,106.897,106.684,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010325674023382417,106.68400000000001,1.3320511712348622e-14
8,AP137335 Corp,106.303,106.75299999999999,106.528,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010815468608485453,106.52799999999999,1.3340018319316991e-14
9,AP137335 Corp,106.296,106.74600000000001,106.521,1.625,09/18/2025,19.2457,,,0.0,410.51300000000003,Basic Industry,,,,,,80.4119,0.010837468684166438,106.52099999999997,2.6681789910350078e-14
