,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets,PD_1y
0,AU053739 Corp,AABHFH,100.086,100.098,100.09200000000001,Alandsbanken Abp,0.5,09/13/2021,AABHFH,4.73005,4.84431,684.4989999999999,33.1593,,,,87.2526,72.7382,275.5,,,0.9959085509181023
1,BP432479 Corp,AAFFP,101.45,102.10799999999999,101.779,Afflelou SAS,4.25,05/19/2026,AAFFP,18.915,17.158,351.535,60.3164,1.6125200000000002,70.221,,77.8533,,,,,0.13545570522546768
2,BP486833 Corp,AAFFP,101.375,102.375,101.875,Afflelou SAS,8.0,05/19/2027,AAFFP,18.915,17.158,351.535,60.3164,1.6125200000000002,70.221,,77.8533,,,,,0.11366909742355347
3,EJ102177 Corp,AALLN,102.36,102.801,102.5805,Anglo American Capital PLC,3.5,03/28/2022,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,0.636872224509716
4,EK150567 Corp,AALLN,105.728,105.887,105.8075,Anglo American Capital PLC,3.25,04/03/2023,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,0.31958872824907303
5,AP137335 Corp,AALLN,100.631,101.147,100.889,Anglo American Capital PLC,1.625,09/18/2025,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,0.15678472816944122
6,AX543265 Corp,AALLN,106.307,106.87700000000001,106.59200000000001,Anglo American Capital PLC,1.625,03/11/2026,AALLN,18.7733,19.2457,410.51300000000003,79.0061,,,3.7829599999999997,80.4119,,,,,0.13177141547203064
7,EK583811 Corp,AAPL,101.885,102.016,101.9505,Apple Inc,1.0,11/10/2022,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.41169828176498413
8,UV843148 Corp,AAPL,104.398,104.59299999999999,104.4955,Apple Inc,1.375,01/17/2024,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.23544564098119736
9,ZQ512620 Corp,AAPL,100.881,100.881,100.881,Apple Inc,0.0,11/15/2025,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.15158487111330032
10,EK583835 Corp,AAPL,109.361,109.652,109.5065,Apple Inc,1.625,11/10/2026,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.11185232549905777
11,UV843143 Corp,AAPL,113.355,113.495,113.425,Apple Inc,2.0,09/17/2027,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.09204920381307602
12,AN646815 Corp,AAPL,110.671,110.98299999999999,110.82700000000001,Apple Inc,1.375,05/24/2029,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.07556048035621643
13,ZQ512622 Corp,AAPL,103.381,102.38,102.8805,Apple Inc,0.5,11/15/2031,AAPL,23.5245,20.1733,187.144,37.7532,1.09391,78844.0,,65.1743,,,,,0.06384500116109848
15,ZP324278 Corp,AARB,100.037,100.787,100.412,Aareal Bank AG,0.5,01/14/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,0.12260226160287857
16,ZO729151 Corp,AARB,102.45200000000001,102.74,102.596,Aareal Bank AG,0.5,04/07/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,0.11469533294439316
17,BP091713 Corp,AARB,98.978,99.825,99.4015,Aareal Bank AG,0.14,04/21/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,0.11889995634555817
18,BM636291 Corp,AARB,100.351,100.603,100.477,Aareal Bank AG,0.25,11/23/2027,AARB,6.655889999999999,6.3899,1023.85,65.4228,,212.0,0.626732,90.9322,61.8607,3395.0,93.9125,2.73348,0.1069246232509613
21,AW600495 Corp,ABANCA,109.0,110.0,109.5,Abanca Corp Bancaria SA,6.125,01/18/2029,ABANCA,6.80553,6.321280000000001,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,,0.08047091960906982
22,ZR827301 Corp,ABANCA,107.711,108.089,107.9,Abanca Corp Bancaria SA,4.625,04/07/2030,ABANCA,6.80553,6.321280000000001,303.251,19.1694,,,0.51559,75.2016,60.1213,,118.944,,0.0708712711930275
23,JK907074 Corp,ABBNVX,101.54,101.648,101.594,ABB Finance BV,0.625,05/03/2023,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,0.3232908099889755
24,AN529935 Corp,ABBNVX,102.624,102.838,102.73100000000001,ABB Finance BV,0.75,05/16/2024,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,0.21624095737934113
25,BN453785 Corp,ABBNVX,98.462,98.796,98.62899999999999,ABB Finance BV,0.0,01/19/2030,ABBNVX,33.5004,38.1742,45.4064,17.3335,2.17067,2487.0,,30.8032,,,,,0.08250723034143448
26,AL241080 Corp,ABBV,103.992,104.176,104.084,AbbVie Inc,1.375,05/17/2024,ABBV,2.0460599999999998,8.684619999999999,665.823,57.8242,4.31643,18026.0,,86.9239,,,,,0.21237076073884964
27,ZR655395 Corp,ABBV,103.825,104.185,104.005,AbbVie Inc,0.75,11/18/2027,ABBV,2.0460599999999998,8.684619999999999,665.823,57.8242,4.31643,18026.0,,86.9239,,,,,0.1022055372595787
30,EJ708501 Corp,ABESM,107.465,107.574,107.5195,Abertis Infraestructuras SA,3.75,06/20/2023,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.2837415859103203
31,EK127126 Corp,ABESM,109.2,111.0,110.1,Abertis Infraestructuras SA,3.125,03/19/2024,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.20677843689918518
32,AZ495660 Corp,ABESM,102.214,102.964,102.589,Abertis Infraestructuras SA,0.625,07/15/2025,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.1595173105597496
33,LW076488 Corp,ABESM,105.65,105.929,105.7895,Abertis Infraestructuras SA,1.375,05/20/2026,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.12835849076509476
34,AX729354 Corp,ABESM,110.727,111.38799999999999,111.0575,Abertis Infraestructuras SA,2.375,09/27/2027,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.09478471428155899
35,ZP794341 Corp,ABESM,96.26899999999999,97.77,97.0195,Abertis Infraestructuras SA,1.25,02/07/2028,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.10853102803230286
36,ZR655698 Corp,ABESM,103.529,103.88799999999999,103.7085,Abertis Infraestructuras SA,1.125,03/26/2028,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.09744217991828918
37,BK164389 Corp,ABESM,111.09899999999999,111.708,111.4035,Abertis Infraestructuras SA,2.25,03/29/2029,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.07641318440437317
38,AZ495661 Corp,ABESM,106.538,107.238,106.88799999999999,Abertis Infraestructuras SA,1.625,07/15/2029,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.07846126705408096
39,AX729355 Corp,ABESM,118.721,119.60799999999999,119.1645,Abertis Infraestructuras SA,3.0,03/27/2031,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.05388595908880234
40,ZR655699 Corp,ABESM,108.365,109.065,108.715,Abertis Infraestructuras SA,1.875,03/26/2032,ABESM,12.904000000000002,12.1218,521.5269999999999,63.2184,12.3516,2382.92,,77.3599,,,,,0.05666222423315048
41,ZS424035 Corp,ABGSM,0.01,0.75,0.38,Abengoa Abenewco 2 Bis SA,1.5,04/26/2024,ABGSM,-129.678,-147.173,,142.39,,300.043,,8622.62,,,,,1.0
42,BJ871562 Corp,ABHFIN,102.37,102.75,102.56,ABH Financial Ltd Via Alfa Holding Issuance PLC,2.7,06/11/2023,ABHFIN,,,,,,,,,,,,,0.30470139533281326
43,AQ688743 Corp,ABIBB,100.589,100.866,100.7275,Anheuser-Busch InBev SA/NV,0.0,04/15/2024,ABIBB,31.0428,30.0446,144.89600000000002,43.5334,6.821510000000001,14449.0,,55.7126,,,,,0.2277212291955948
